1,4,10,2,20,U,1,147,,,,,,,,,,,,,,,,,,,,,,,,
61,22,44,2,88,S,1,30400041,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,,
62,22,44,2,88,U,1,32318408,,,,,,,,,,,,,,,,,,,,,,,,
63,22,44,2,88,U,1,34406192,,,,,,,,,,,,,,,,,,,,,,,,
64,22,44,2,88,U,1,29274020,,,,,,,,,,,,,,,,,,,,,,,,
65,22,44,2,88,U,1,39682299,,,,,,,,,,,,,,,,,,,,,,,,
66,22,44,2,88,U,1,36049965,,,,,,,,,,,,,,,,,,,,,,,,
67,22,44,2,88,U,1,42120104,,,,,,,,,,,,,,,,,,,,,,,,
68,22,44,2,88,U,1,37306374,,,,,,,,,,,,,,,,,,,,,,,,
69,22,44,2,88,U,1,37060425,,,,,,,,,,,,,,,,,,,,,,,,
70,22,44,2,88,U,1,34409161,,,,,,,,,,,,,,,,,,,,,,,,
71,24,48,2,96,S,1,32951209,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
72,24,48,2,96,U,1,156809513,,,,,,,,,,,,,,,,,,,,,,,,
73,24,48,2,96,U,1,146796109,,,,,,,,,,,,,,,,,,,,,,,,
74,24,48,2,96,S,1,63149085,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
75,24,48,2,96,U,1,180904126,,,,,,,,,,,,,,,,,,,,,,,,
76,24,48,2,96,U,1,145127748,,,,,,,,,,,,,,,,,,,,,,,,
77,24,48,2,96,U,1,152727275,,,,,,,,,,,,,,,,,,,,,,,,
78,24,48,2,96,U,1,138975288,,,,,,,,,,,,,,,,,,,,,,,,
79,24,48,2,96,U,1,155474556,,,,,,,,,,,,,,,,,,,,,,,,
80,24,48,2,96,S,1,37570901,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
81,4,20,3,60,U,1,216,,,,,,,,,,,,,,,,,,,,,,,,
82,4,20,3,60,S,1,154,1,0,0,1,,,,,,,,,,,,,,,,,,,,
83,4,20,3,60,S,1,115,0,1,1,1,,,,,,,,,,,,,,,,,,,,
84,4,20,3,60,S,1,304,1,1,1,1,,,,,,,,,,,,,,,,,,,,
85,4,20,3,60,U,1,356,,,,,,,,,,,,,,,,,,,,,,,,
86,4,20,3,60,S,1,283,1,1,1,0,,,,,,,,,,,,,,,,,,,,
87,4,20,3,60,U,1,251,,,,,,,,,,,,,,,,,,,,,,,,
88,4,20,3,60,U,1,235,,,,,,,,,,,,,,,,,,,,,,,,
89,4,20,3,60,U,1,292,,,,,,,,,,,,,,,,,,,,,,,,
90,4,20,3,60,S,1,246,1,0,1,1,,,,,,,,,,,,,,,,,,,,
91,8,40,3,120,S,1,1754,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,
92,8,40,3,120,S,1,211,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
93,8,40,3,120,S,1,3050,1,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,
94,8,40,3,120,U,1,6379,,,,,,,,,,,,,,,,,,,,,,,,
95,8,40,3,120,U,1,3669,,,,,,,,,,,,,,,,,,,,,,,,
96,8,40,3,120,U,1,4070,,,,,,,,,,,,,,,,,,,,,,,,
